Product Name,Price (Rs.),Rating,Reviews,Product Link
Blackview N2000 FLIP 4G MOBILE PHONE | RED | BLUE | BLACK,5999.0,4.52,25,
"Redmi 15C (6GB+128GB) | 6.9"" Dot Drop DIsplay |  MediaTek Helio G81-Ultra processor | 6000mAh (typ) battery | 33W Fast charging | 10W reverse charging",21999.0,4.916666666666667,12,
Samsung Galaxy A17 5G (6GB RAM + 128GB) | 90Hz Super AMOLED | 50MP Camera With 25W Power Adapter,33999.0,4.6,5,
"Samsung Galaxy A07 (6GB RAM + 128GB) | 6.7"" 90Hz Display | 5000mAh Battery",26499.0,4.857142857142857,7,
Blackview BV6200 Plus Rugged Phone (8GB+256GB) | 3W 98dB Ultra Loud Speaker | 11000mAh Battery | Shockproof & Waterproof | 6.56-inch HD+IPS Display | ,22999.0,4.0,4,
IPRO S 501 Aplus-4G Android Smart Phone,3999.0,3.6666666666666665,3,
OnePlus 15 | 16GB+512GB | Sand Storm | Snapdragon® 8 Elite Gen 5 | 7300mAh Battery | Personalized AI | Game-Changing 165Hz Display | Triple 50MP Camer,169999.0,5.0,1,
Samsung Galaxy A17 5G (8GB RAM + 128GB) | 90Hz Super AMOLED | 50MP Camera With 25W Power Adapter,36999.0,5.0,3,
"HONOR X9d 5G | 8/12GB RAM, 256GB Storage | 2.5m Drop-resistant | IP69K Water-resistant | 8300mAh 3-day Battery | 108MP AI Camera",54999.0,5.0,2,
"Samsung Galaxy A07 (4GB/128GB) | 6.7"" HD+ 90Hz Display | 50MP Main Camera | 5000mAh Battery",22499.0,4.0,2,
ZTE | nubia V80 Design (8 + 256 ) | 5000mAh battery | 6.75 inch 120 Hz Smoother | 50 MP AI Camera,27999.0,5.0,1,
Vippo+ Keypad Mobile Phone | One Year Warranty | 1000 Mah Battery | Big Torch With Side Switch,1111.0,4.0,2,
"Blackview COLOR 6 | 6.67"" 90Hz Display | MediaTek Helio G81 | 8+128GB | 50MP Main & 13MP Selfie Camera | 4G Smartphone",18999.0,5.0,0,
"Coolpad Cool 10 A [2GB+64GB,6.517 ""HD Waterdrop ,13MP+0.3MP,4000 mAh ]",12495.0,4.333333333333333,1,
Lephone w10 (Gold 8gb) 1 gb ram,5200.0,5.0,1,
"OnePlus Nord 5 5G | 12GB RAM, 512GB Storage | Snapdragon™ 8s Gen 3 | 144Hz Swift AMOLED Display + Dual Stereo Speakers",79999.0,5.0,4,
"Samsung Galaxy A17 5G (6GB/128GB) | 6.7"" sAMOLED 90Hz Display | 50MP Main Camera | 5000mAh Battery",33999.0,5.0,2,
Blackview SHARK 9 5G (8GB+256GB) | 50MP Camera | 90Hz Refresh Rate | 5000mAh Battery | 18W Fast Charging,21999.0,5.0,7,
Samsung Galaxy A17 5G (8GB RAM + 256GB) | 90Hz Super AMOLED | 50MP Camera With 25W Power Adapter,44999.0,4.5,8,
Apple iPhone 16 | 6.1 inch Super Retina XDR OLED Display | A18 chip | Advanced Dual-Camera System,146599.0,4.916666666666667,12,
"HONOR 400 Pro 5G | 24*GB RAM, 512GB Storage | 200MP Ultra-clear AI Camera System | AI Image to Video | 6000mAh Silicon-carbon Battery | 100W Wired Cha",88480.0,5.0,7,
CANVAS XPRESS 4G SMART PHONE 3 gb ram 16 gb rom,5791.0,2.3333333333333335,3,
"Coolpad X100 Premium Smartphone | 108 Megapixel AI Triple Camera | 6.78"" FHD with 120Hz Ultra Smooth Display | Powered by MediaTek Helio G99 Gaming Pr",24499.0,1.0,1,
"Nothing Phone (3a) lite 6.77"" Flexible AMOLED Display | MediaTek Dimensity 7300 Pro 5G Processor | 5,000 mAh Battery",40999.0,5.0,5,
ZTE | nubia  V80 Design (8 + 128 ) | 5000mAh battery | 6.75 inch 120 Hz refresh  | 50 MP AI Camera,24999.0,4.5,2,
infocous m535+ 3 gb ram 16 gb rom,6435.0,5.0,1,
"Xiaomi 17 Ultra (16/512GB) | 6.9"" Xiaomi HyperRGB OLED display | Leica 200MP 75-100mm telephoto | Snapdragon® 8 Elite Gen 5 | 6000mAh Battery | 90W wi",199999.0,5.0,1,
vivo Y05 | 6500 mAh Battery  | Anti-Drop Design | IP65 Dust & Water Resistance | 120Hz Smooth Display,21999.0,,0,
Explorer 500 Mobile Phone | Big Screen | Big Torch | A Big mAh Battery | WFm Keypad Mobile Phone,2599.0,1.0,1,
"Samsung Galaxy A07 (4GB RAM + 64GB) | 6.7"" 90Hz Display | 5000mAh Battery",18999.0,4.875,8,
"Samsung Galaxy A07 (4GB RAM + 128GB) | 6.7"" 90Hz Display | 5000mAh Battery",22499.0,5.0,3,
"Samsung Galaxy S26 Ultra 5G (Sky Blue, 12GB RAM, 256GB Storage) with Built-in Privacy Display, AI Phone, Photo Assist, Creative Studio, 200MP Camera, ",212999.0,,0,
LAVA A7 TORCH,1999.0,5.0,2,
"OnePlus Nord 5 5G | 8GB RAM, 256GB Storage | Snapdragon™ 8s Gen 3 | 144Hz Swift AMOLED Display + Dual Stereo Speakers",73999.0,5.0,1,
Lephone W15 golden 2 gb ram 16 gb rom 4 g network,5500.0,1.0,1,
"Benco Lava P32 (1750, mAh) Big Battery",2398.0,5.0,1,
Benco Lava P31 (3000 mAh) Big Battery,2299.0,3.0,1,
LDNIO A6140C 140W Fast charging 6 USB Ports LED Display GaN Laptop Mobile Charger,5500.0,5.0,5,
"Samsung Galaxy A17 5G  (Brand New, Sealed Pack,6.7inch SUPER AMOLED Display)",33999.0,,0,
"Samsung Galaxy A17 5G (8GB/256GB) | 6.7"" S-AMOLED Display | 50MP Main Camera | 5000mAh Battery",44999.0,5.0,2,
"Samsung Galaxy A36 5G (8GB/256GB) | 6.7"" sAMOLED 120Hz Display | Snapdragon 6Gen 3 | 5000mAh Battery",59999.0,3.0,1,
"Vivo Y16(4GB+64GB)  with Helio P35, HD+ screen  || Splashproof || FM radio l 5000 Mah Battery",18999.0,5.0,1,
"Samsung Galaxy A56 5G (12GB/256GB) | 6.7"" 120Hz sAMOLED Display | Exynos 1580 | 50000mAh",77999.0,5.0,2,
Oukitel C22 Smartphone,14500.0,4.0,1,
"Samsung Galaxy A17 5G (8GB/128GB) | 6.7"" S-AMOLED 90Hz Display | 50MP Main Camera | 5000mAh Battery",36999.0,,0,
Mobil Set,1999.0,5.0,1,
"Blackview BV8200 Rugged phone (12GB 256GB) | 6.5"" 2.4K 120Hz Display | 8800mAh | Helio G100 | NFC | Flashlight | Android 14 CellPhone",39999.0,4.0,1,
"Samsung Galaxy A56 5G (12GB/256GB) | 6.7"" 120HZ sAMOLED Display | Exynos 1580| 5000mAh Battery",77999.0,4.333333333333333,3,
Nothing Phone (3) 12/256GB,100000.0,5.0,1,
"Blackview WAVE 10 | 32GB(8GB+24GB) RAM + 128GB ROM | 6.88"" 120Hz Display | Unisoc UMS9230E Octa-core | 5000mAh | 32MP AI Camera | 4G Smartphone",20999.0,5.0,5,
"Coolpad COOL 12 A [6.217 inches HD+ drop screen, 4000mAh ,Android 11.0]",13495.0,3.0,1,
"Redmi Note 15 5G (8/256GB) | 6.77"" AMOLED Display | Snapdragon® 6 Gen 3 Mobile Platform | 5520 mAh battery | 45W turbo charging",43999.0,,0,
"Samsung Galaxy A07 LITE (4GB/128GB) | 6.7"" SuperAMOLED 90Hz Display | 50MP+2MP Rear Camera | 5000mAh Battery""",22499.0,5.0,1,
HMD CREST 5g network 6GB ram 128ROM,20000.0,,0,
"Bontel EXPLORER 500 Basic Mobile Phone 1500mAh Big Battery Dual Sim, Flashlight MP3, MP4, FM, Bontel Mobile",2499.0,5.0,1,
"Coolpad Cool 10 A [6.517""Waterdrop HD + incell, 3GB+64GB,4000mAh battery ,Android 11]",13995.0,3.0,1,
Oneme Ferrari Keypad Flip Mobile Racing Car,2699.0,5.0,1,
OALE 17 PRO MAX Android Mobile Phone,16999.0,,0,
CCOLPAD COOL12A SMART PHONE 3 gb ram 32 gb rom,13850.0,,0,
Samsung Galaxy F54 5G (8GB+256GB) With Realme Buds T100 & Samsung 25W Adapter,52499.0,5.0,1,
Lava  Hero 600+ 1 | AI Battery| Long Contact List | Wireless FM | 1 Year Brand Warranty|,1325.0,,0,
"Coolpad Cool 10 [6.51"" HD+ InCell ,4GB RAM, 128 GB ROM ,16MP Triple camera ,5000 mAh ]",17495.0,5.0,1,
"Infinix GT 30 Pro 5G+ 8/256 GB 6.78 inches, AMOLED, Mediatek Dimensity 8350 Ultimate (with Gaming Kit)",51999.0,,0,
"Redmi A7 (3/64 GB) | 6.88"" Display | UNISOC T7250 | 5200mAh Battery | 15W Charging | 2 years warranty*",16999.0,5.0,1,
LAVA A3 TORCH,1699.0,,0,
"Honor X9c Smart 5G | 12GB RAM, 256GB Storage | Ultra Tough Water-Resistant | 108MP Ultra Sensing Camera | 5800mAh Battery Capacity",38999.0,5.0,1,
"Apple iPhone 17 Pro | 6.3"" Super Retina XDR OLED Display | A19 Pro chip | 48MP Pro Fusion camera system | 4K Dolby Vision video recording",236899.0,,0,
"Apple iPhone 17 Pro Max | 6.9"" Super Retina XDR OLED Display | A19 Pro chip | 48MP Pro Fusion camera system | 4K Dolby Vision video recording",242999.0,5.0,1,
Canvas Xpress 4G,5000.0,,0,
Nokia 105 Mobile Phone with Dual SIM and Wireless FM,2999.0,4.5,2,
"Infinix Note 60, 6.78 inch, 144Hz AMOLED, Mediatek Dimensity 7400 Ultimate, 50 MP Dual Camera, 6150-6500 mAh Battery",51999.0,5.0,1,
Infinix Note 50s with a unique “scented back panel” is here in Nepal,36999.0,,0,
"MOTOROLA Moto G96 5G (8/256GB) | 6.67"" pOLED 3D Curved Display | Snapdragon® 7s Gen 2 | 5500mAh Battery",44999.0,,0,
"Infinix Note 60 Pro(8GB/256GB), 6.78 inch, 144Hz AMOLED, Qualcomm SM7635-AC Snapdragon 7s Gen 4, 50 MP Dual Camera, 6000-6500 mAh Battery",59999.0,,0,
infocous mobile 1 gb ram 8 gb rom 4g network,4752.0,,0,
HONOR X7d 4G | 256/512 GB Storage | 6500mAh Dual-cell Battery | Instant AI Button,33999.0,,0,
"Poco X8 Pro 5G + 4G LTE | 8+256 GB | 6.95"" CrystalRes AMOLED Display | 50MP main camera | Flagship Dimensity 8500 | 6500mAh (typ) battery with 100W Hy",63999.0,,0,
LAVA HERO 2025,1249.0,4.0,1,
Tecno Spark GO 3,18999.0,,0,
SPARK GO 3  kn3  4+128GB,19999.0,,0,
"HONOR X5c | 8*GB RAM, 64GB Storage | 5260mAh Battery Capacity",20499.0,5.0,1,
HTC wildfire E7 | 6+6GB RAM | 256GB Memory | 50MP Main Camera | 4920mAh Battery | 6.67inch HD+ Display,19999.0,,0,
"Bontel EXPLORER 500 Basic Mobile Phone 1500mAh Big Battery Dual Sim, Flashlight MP3, MP4, FM, Bontel Mobile",2399.0,5.0,1,
Bonfly Boom 5000 Type-C Keypad Mobile Phone,2499.0,,0,
Apple iPhone 17 | 6.3″ Super Retina XDR Always-On Display | A19 chip | 48MP Dual Fusion camera system,163499.0,,0,
"Tecno Spark GO 3 (Ink Black, 4GB+64GB",18999.0,,0,
Honor X7A (6GB/128GB),22990.0,5.0,2,
"No-kia 105 Classic | Single SIM Keypad Phone with Built- in UPI Payments, Long-Lasting Battery, Wireless FM Radio, Charger in-Box",2199.0,2.0,2,
Tecno Spark 50 6/128,26999.0,,0,
Tecno Spark GO 3 4/128,19999.0,,0,
"Infinix Note 60  (8GB/128GB), 6.78 inch, 144Hz AMOLED, Mediatek Dimensity 7400 Ultimate, 50 MP Dual Camera, 6150-6500 mAh Battery",45999.0,,0,
MEIZU SILVER m3 max smart phone 4 g network 4 gb ram 64 gb rom,10200.0,,0,
Infinix Note 60 Pro 5G 12GB 256GB 6.78 Inch 144Hz AMOLED Snapdragon 7s Gen 4 50MP Dual Camera 6500mAh Battery 90W Fast Charging,66999.0,,0,
"Realme C30 (3GB/32GB) | 6.5"" IPS LCD Display | UFS 2.2 Storage | 5000mAh Battery",14499.0,,0,
"vivo Y05 (4GB RAM /64GB ROM/ 128GB ROM) - 6.59"" 120Hz Display - 6500mAh Massive Battery - 1 Year Warranty",21999.0,,0,
COOLPAD COOL10A 3 gb ram 64 gb rom,17000.0,,0,
ZTE BLADE L5 PLUS,4999.0,,0,
"HONOR X8d | 8 GB RAM, 128/256 GB Storage | 2m Drop-resistant | IP 65 Water-Resistance | 7000 mAH Battery | 108 MP AI Camera",39999.0,,0,
"HONOR X5c Plus | 8*GB RAM, 128GB Storage | 5260mAh Battery Capacity",22499.0,,0,
Spark Go 3,19999.0,,0,
"ZTE | nubia V80 Max (8 + 128 ) | 6.9"" 120Hz LCDr | 50 MP AI Camera | Li-Ion 6000 mAh",23999.0,,0,
INFOCOUS BINGO20 4g,5081.0,,0,
COOLPAD COOL10,18800.0,,0,
Alcatel 3x (5058I) 32GB ROM + 3GB RAM,10999.0,,0,
"Tecno POVA Curve 2 5G (8/256GB) | 6.78"" 144Hz Curved AMOLED Display | World's Slimmest Smartphone | 8000mAh Battery",52999.0,,0,
infocous a1,5500.0,,0,
vivo Y31d | 7200 mAh Battery + 44 Watt Flash Charge | Snapdragon 6s Gen 2 4G I IP68/69+ WaterProof | Dual Stereo Speaker 400% |,51999.0,,0,
Radio Mobile,2390.0,,0,
vivo Y15C | (3GB+32GB | 8.28mm Body thickness | 5000mAh | SideFingerprint,14999.0,,0,
"ZTE | nubia V80 Max (8 + 256 ) | 6.9"" 120Hz LCDr | 50 MP AI Camera | Li-Ion 6000 mAh",26999.0,,0,
Infinix Hot 60 Pro+ arrives in Nepal with a super slim design,30999.0,,0,
Blackview Shark 6 5G | Smarter. Faster. Smoother. Built to Lead!,19999.0,,0,
"Infinix Note Edge (8 GB/128GB) All Round Power with 1.5K curved AMOLED, big battery, smooth performance.",41999.0,,0,
realme 15 Pro  (12+256) | 7000 mAh battery | 80W charging | 50 MP camera | 6.8 inch display,66999.0,,0,
"Blackview Fort 1 | 10,000mAh Battery | Rugged Phone Android 15 | 4GB+128GB | 2TB Expand | 6.56"" 90Hz | 4G Dual SIM IP69K | Fingerprint/NFC/OTG/GPS",21999.0,,0,
Vivo Y400 (8GB/256GB) 6000MAH Battery 44W Charger,39999.0,,0,
VIVO V70  (12/512GB)90W FASTCHARGING,102999.0,,0,
"Redmi 15 (6GB+128GB) | 6.9"" FHD+ Dot Display | Snapdragon® 685 6nm processor | 7000mAh (typ) Battery | 33W fast charging | 18W reverse charging",24999.0,4.8,10,
Big Battery Mobil Oktokey Best,4111.0,,0,
Smartphone Oukitel C19 Pro,13000.0,,0,
